_id,stockTicker,stockName,currentPrice,marketCap,sector
1,PIH,"1347 Property Insurance Holdings, Inc.",6.8,40696408.8,Finance
2,TURN,180 Degree Capital Corp.,1.88,58508536.56,Finance
3,FLWS,"1-800 FLOWERS.COM, Inc.",10.35,668863181.7,Consumer Services
4,FCCY,1st Constitution Bancorp (NJ),19.3,155811891.5,Finance
5,SRCE,1st Source Corporation,52.78,1368942403.92,Finance
6,VNET,"21Vianet Group, Inc.",8.95,548725251.8,Technology
7,TWOU,"2U, Inc.",73.53,3839908880.79,Technology
8,JOBS,"51job, Inc.",71.15,2617848346.65,Technology
9,CAFD,8point3 Energy Partners LP,14.55,1150685804.25,Public Utilities
10,EGHT,8x8 Inc,17.5,1609169117.5,Public Utilities
11,AVHI,"A V Homes, Inc.",16.9,379501144.1,Capital Goods
12,SHLM,"A. Schulman, Inc.",39.1,1153502628.6,Basic Industries
13,AAON,"AAON, Inc.",36.15,1896731720.1,Capital Goods
14,ABAX,"ABAXIS, Inc.",72.68,1649617960,Capital Goods
15,ABEO,Abeona Therapeutics Inc.,15.65,732032772.05,Health Care
16,ABEOW,Abeona Therapeutics Inc.,10.5,0,Health Care
17,ABIL,Ability Inc.,0.422,10869091.924,Finance
18,ABMD,"ABIOMED, Inc.",253.13,11192432783.85,Health Care
19,ABLX,Ablynx NV,54.74,719529930,Health Care
20,AXAS,Abraxas Petroleum Corporation,2.46,408089156.46,Energy
21,ACIU,AC Immune SA,13.23,753081261.66,Health Care
22,ACIA,"Acacia Communications, Inc.",39.54,1556979628.2,Technology
23,ACTG,Acacia Research Corporation,3.7,187237693.4,Miscellaneous
24,ACHC,"Acadia Healthcare Company, Inc.",35.23,3095082292.77,Health Care
25,ACAD,ACADIA Pharmaceuticals Inc.,30.26,3758462575.62,Health Care
26,ACST,"Acasti Pharma, Inc.",1.07,26577121.17,Health Care
27,AXDX,"Accelerate Diagnostics, Inc.",29.1,1612069083.3,Capital Goods
28,XLRN,Acceleron Pharma Inc.,41.71,1886752851.04,Health Care
29,ANCX,Access National Corporation,29.69,607241464.63,Finance
30,ARAY,Accuray Incorporated,5.8,486728622.4,Health Care
31,ACRX,"AcelRx Pharmaceuticals, Inc.",1.95,98159858.55,Health Care
32,ACER,Acer Therapeutics Inc.,19.35,145075328.55,Health Care
33,ACERW,Acer Therapeutics Inc.,0.0113,0,Health Care
34,ACET,Aceto Corporation,10.91,334296081.14,Health Care
35,AKAO,"Achaogen, Inc.",11.145,472476772.305,Health Care
36,ACHV,"Achieve Life Sciences, Inc. ",1.51,18040990.76,Health Care
37,ACHN,"Achillion Pharmaceuticals, Inc.",2.72,374973031.04,Health Care
38,ACIW,"ACI Worldwide, Inc.",23.76,2817442362.24,Technology
39,ACRS,"Aclaris Therapeutics, Inc.",22.09,681138059.11,Health Care
40,ACMR,"ACM Research, Inc.",6,92071704,Technology
41,ACNB,ACNB Corporation,30.3,212695243.5,Finance
42,ACOR,"Acorda Therapeutics, Inc.",26.25,1227113107.5,Health Care
43,SQZZ,Active Alts Contrarian ETF,25.875,646926.75,n/a
44,ATVI,"Activision Blizzard, Inc",73.35,55459895024.25,Technology
45,ACTA,Actua Corporation,15.55,508832542.5,Technology
46,ACXM,Acxiom Corporation,27.16,2147408550.56,Technology
